"Regency/City,Rambutan"
"Kota Semarang,0.05"
"Kota Pekalongan,0.018"
"Kota Tegal,0.079"
"Kulon Progo,0.042"
"Bantul,0.02"
"Gunung Kidul,0.022"
"Sleman,0.033"
"Kota Yogyakarta,0.023"
"Pacitan,0.048"
"Ponorogo,0.007"
"Trenggalek,0.034"
"Tulungagung,0.031"
"Blitar,0.034"
"Kediri,0.03"
"Malang,0.073"
"Lumajang,0.072"
"Jember,0.049"
"Banyuwangi,0.045"
"Bondowoso,0.018"
"Situbondo,0.029"
"Probolinggo,0.026"
"Pasuruan,0.04"
"Sidoarjo,0.033"
"Mojokerto,0.069"
"Jombang,0.022"
"Nganjuk,0.01"
"Madiun,0.04"
"Magetan,0.019"
"Ngawi,0.075"
"Bojonegoro,0.123"
"Tuban,0.121"
"Lamongan,0.095"
"Gresik,0.069"
"Bangkalan,0.065"
"Sampang,0.049"
"Pamekasan,0.028"
"Sumenep,0.048"
"Kota Kediri,0.004"
"Kota Blitar,0.023"
"Kota Malang,0.059"
"Kota Probolinggo,0.027"
"Kota Pasuruan,0.017"
"Kota Mojokerto,0.003"
"Kota Madiun,0.013"
"Kota Surabaya,0.037"
"Kota Batu,0.024"
"Pandeglang,0.103"
"Lebak,0.216"
"Tangerang,0.085"
"Serang,0.259"
"Kota Tangerang,0.069"
"Kota Cilegon,0.203"
"Kota Serang,0.204"
"Kota Tangerang Selatan,0.048"
"Jembrana,0.019"
"Tabanan,0.019"
"Badung,0.057"
"Gianyar,0.083"
"Klungkung,0.042"
"Bangli,0.091"
"Karangasem,0.077"
"Buleleng,0.049"
"Kota Denpasar,0.031"
"Lombok Barat,0.132"
"Lombok Tengah,0.107"
"Lombok Timur,0.148"
"Sumbawa,0.066"
"Dompu,0.052"
"Bima,0.062"
"Sumbawa Barat,0.084"
"Lombok Utara,0.139"
"Kota Mataram,0.053"
"Kota Bima,0.059"
"Sumba Barat,0.031"
"Sumba Timur,0.019"
"Kupang,0.006"
"Timor Tengah Selatan,0.09025258799171844"
"Timor Tengah Utara,0.006"
"Belu,0.003"
"Alor,0.016"
"Lembata,0.027"
"Flores Timur,0.051"
"Sikka,0.029"
"Ende,0.006"
"Ngada,0.017"
"Manggarai,0.005"
"Rote Ndao,0.001"
"Manggarai Barat,0.005"
"Sumba Tengah,0.01"
"Sumba Barat Daya,0.083"
"Nagekeo,0.013"
"Manggarai Timur,0.018"
"Sabu Raijua,0.002"
"Malaka,0.09025258799171844"
"Kota Kupang,0.02"
"Sambas,0.017"
"Bengkayang,0.033"
"Landak,0.087"
"Mempawah,0.031"
"Sanggau,0.019"
"Ketapang,0.106"
"Sintang,0.031"
"Kapuas Hulu,0.036"
"Sekadau,0.074"
"Melawi,0.085"
"Kayong Utara,0.014"
"Kubu Raya,0.039"
"Kota Pontianak,0.031"
"Kota Singkawang,0.102"
"Kotawaringin Barat,0.138"
"Kotawaringin Timur,0.155"
"Kapuas,0.073"
"Barito Selatan,0.117"
"Barito Utara,0.075"
"Sukamara,0.17"
"Lamandau,0.163"
"Seruyan,0.21"
"Katingan,0.109"
"Pulang Pisau,0.159"
"Gunung Mas,0.052"
"Barito Timur,0.137"
"Murung Raya,0.041"
"Kota Palangka Raya,0.036"
"Tanah Laut,0.073"
"Kota Baru,0.174"
"Banjar,0.102"
"Barito Kuala,0.08"
"Tapin,0.199"
"Hulu Sungai Selatan,0.332"
"Hulu Sungai Tengah,0.196"
"Hulu Sungai Utara,0.079"
"Tabalong,0.223"
"Tanah Bumbu,0.159"
"Balangan,0.207"
"Kota Banjarmasin,0.038"
"Kota Banjar Baru,0.096"
"Paser,0.184"
"Kutai Barat,0.265"
"Kutai Kartanegara,0.275"
"Kutai Timur,0.156"
"Berau,0.092"
"Penajam Paser Utara,0.084"
"Mahakam Ulu,0.082"
"Kota Balikpapan,0.054"
"Kota Samarinda,0.137"
"Kota Bontang,0.114"
"Malinau,0.126"
"Bulungan,0.043"
"Tana Tidung,0.032"
"Nunukan,0.028"
"Kota Tarakan,0.035"
"Bolaang Mongondow,0.104"
"Minahasa,0.132"
"Kepulauan Sangihe,0.044"
"Kepulauan Talaud,0.112"
"Minahasa Selatan,0.094"
"Minahasa Utara,0.125"
"Bolaang Mongondow Utara,0.1"
"Siau Tagulandang Biaro,0.13"
"Minahasa Tenggara,0.088"
"Bolaang Mongondow Selatan,0.096"
"Bolaang Mongondow Timur,0.158"
"Kota Manado,0.063"
"Kota Bitung,0.13"
"Kota Tomohon,0.111"
"Kota Kotamobagu,0.189"
"Banggai Kepulauan,0.046"
"Banggai,0.127"
"Morowali,0.146"
"Poso,0.152"
"Donggala,0.072"
"Toli-Toli,0.044"
"Buol,0.158"
"Parigi Moutong,0.068"
"Tojo Una-Una,0.075"
"Sigi,0.052"
"Banggai Laut,0.062"
"Morowali Utara,0.139"
"Kota Palu,0.062"
"Kepulauan Selayar,0.096"
"Bulukumba,0.319"
"Bantaeng,0.318"
"Jeneponto,0.175"
"Takalar,0.186"
"Gowa,0.19"
"Sinjai,0.347"
"Maros,0.158"
"Pangkajene dan Kepulauan,0.212"
"Barru,0.156"
"Bone,0.147"
"Soppeng,0.159"
"Wajo,0.222"
"Sidenreng Rappang,0.323"
"Pinrang,0.267"
"Enrekang,0.207"
"Luwu,0.314"
"Tana Toraja,0.059"
"Luwu Utara,0.283"
"Luwu Timur,0.278"
"Toraja Utara,0.11"
"Kota Makasar,0.128"
"Kota Parepare,0.197"
"Kota Palopo,0.341"
"Buton,0.183"
"Muna,0.191"
"Konawe,0.19"
"Kolaka,0.385"
"Konawe Selatan,0.197"
"Bombana,0.232"
"Wakatobi,0.108"
"Kolaka Utara,0.217"
"Buton Utara,0.135"
"Konawe Utara,0.209"
"Kolaka Timur,0.283"
"Konawe Kepulauan,0.2"
"Muna Barat,0.369"
